Group Title,Notation,Parent
Business analysts,2431/01,2431
Management consultants,2431/02,2431
Risk analysts,2431/03,2431
Management consultants and business analysts n.e.c.,2431/99,2431
Marketing and commercial managers,2432,243
Commercial managers,2432/01,2432
Marketing managers,2432/02,2432
Marketing and commercial managers n.e.c.,2432/99,2432
"Actuaries, economists, and statisticians",2433,243
Actuaries and actuarial analysts,2433/01,2433
Data scientists,2433/02,2433
Economists,2433/03,2433
Mathematicians,2433/04,2433
Statisticians,2433/05,2433
"Actuaries, economists, and statisticians n.e.c.",2433/99,2433
Business and related research professionals,2434,243
Researchers in media and entertainment,2434/01,2434
Researchers in national security and protective services,2434/02,2434
Business and related research professionals n.e.c.,2434/99,2434
Professional/chartered company secretaries,2435,243
Professional/chartered company secretaries,2435/00,2435
"Business, research, and administrative professionals n.e.c.",2439,243
Policy officers,2439/01,2439
Registrars,2439/02,2439
"Business, research, and administrative professionals n.e.c.",2439/99,2439
Business and financial project management professionals,244,24
Business and financial project management professionals,2440,244
Business change managers,2440/01,2440
Contract managers,2440/02,2440
Risk managers,2440/03,2440
Business and financial project management professionals n.e.c.,2440/99,2440
"Architects, chartered architectural technologists, planning officers, surveyors, and construction professionals",245,24
Architects,2451,245
Architects (except landscape),2451/01,2451
Landscape architects,2451/02,2451
"Chartered architectural technologists, planning officers, and consultants",2452,245
Chartered architectural technologists,2452/01,2452
Planning officers,2452/02,2452
Urban designers,2452/03,2452
"Chartered architectural technologists, planning officers, and consultants n.e.c.",2452/99,2452
Quantity surveyors,2453,245
Quantity surveyors,2453/00,2453
Chartered surveyors,2454,245
Building control surveyors,2454/01,2454
Hydrographic surveyors,2454/02,2454
Land surveyors,2454/03,2454
Property surveyors,2454/04,2454
Chartered surveyors n.e.c.,2454/99,2454
Construction project managers and related professionals,2455,245
Construction managers,2455/01,2455
Transport planners,2455/02,2455
Construction project managers and related professionals n.e.c.,2455/99,2455
Welfare professionals,246,24
Social workers,2461,246
Adult social workers,2461/01,2461
Addiction and substance abuse social workers,2461/02,2461
"Children, family, and school social workers",2461/03,2461
Criminal justice social workers,2461/04,2461
Homelessness and housing social workers,2461/05,2461
Mental health and healthcare social workers,2461/06,2461
Social workers n.e.c.,2461/99,2461
Probation officers,2462,246
Probation officers,2462/00,2462
Clergy,2463,246
Clergy,2463/00,2463
Youth work professionals,2464,246
Youth work professionals,2464/00,2464
Welfare professionals n.e.c.,2469,246
Addiction and substance abuse advice professionals,2469/01,2469
Adoption officers,2469/02,2469
Children's and family services professionals,2469/03,2469
Community and social development professionals,2469/04,2469
Health education professionals,2469/05,2469
Mediators and restorative practice professionals,2469/06,2469
Welfare professionals n.e.c.,2469/99,2469
Librarians and related professionals,247,24
Librarians,2471,247
Librarians,2471/00,2471
Archivists and curators,2472,247
Archivists,2472/01,2472
Collection managers and curators,2472/02,2472
Conservators,2472/03,2472
Museum education officers,2472/04,2472
Archivists and curators n.e.c.,2472/99,2472
Quality and regulatory professionals,248,24
Quality control and planning engineers,2481,248
Garment technologists,2481/01,2481
Planning engineers,2481/02,2481
Quality control engineers,2481/03,2481
Quality control and planning engineers n.e.c.,2481/99,2481
Quality assurance and regulatory professionals,2482,248
Compliance and regulatory professionals,2482/01,2482
Patent and trademark attorneys,2482/02,2482
Quality assurance professionals,2482/03,2482
Environmental health professionals,2483,248
Environmental health professionals,2483/00,2483
Media professionals,249,24
Newspaper and periodical editors,2491,249
Newspaper and periodical editors,2491/00,2491
Newspaper and periodical journalists and reporters,2492,249
Broadcast journalists,2492/01,2492
Newspaper journalists and reporters,2492/02,2492
Newspaper and periodical journalists and reporters n.e.c.,2492/99,2492
Public relations professionals,2493,249
Communications officers,2493/01,2493
Press officers,2493/02,2493
Public relations officers,2493/03,2493
Social media managers,2493/04,2493
Public relations professionals n.e.c.,2493/99,2493
Advertising accounts managers and creative directors,2494,249
Advertising account managers,2494/01,2494
Creative directors,2494/02,2494
Fundraising managers,2494/03,2494
ASSOCIATE PROFESSIONAL OCCUPATIONS,3,
"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS",31,3
"Science, Engineering and Production Technicians",311,31
Laboratory technicians,3111,311
Biological laboratory technicians,3111/01,3111
Chemical laboratory technicians,3111/02,3111
Food technicians,3111/03,3111
Health physics monitors,3111/04,3111
Medical laboratory technicians,3111/05,3111
Laboratory technicians n.e.c.,3111/99,3111
Electrical and electronics technicians,3112,311
Avionics technicians,3112/01,3112
Electrical and electronics technicians n.e.c.,3112/99,3112
Engineering technicians,3113,311
Aircraft engineering technicians,3113/01,3113
Commissioning engineering technicians,3113/02,3113
Wind turbine technicians,3113/03,3113
Engineering technicians n.e.c.,3113/99,3113
Building and civil engineering technicians,3114,311
Building engineering technicians,3114/01,3114
Civil engineering technicians,3114/02,3114
Surveying technicians,3114/03,3114
Building and civil engineering technicians n.e.c.,3114/99,3114
Quality assurance technicians,3115,311
Quality analysts,3115/01,3115
Quality and test technicians,3115/02,3115
Quality assurance auditors,3115/03,3115
Quality assurance technicians n.e.c.,3115/99,3115
"Planning, process, and production technicians",3116,311
"Planning, process, and production technicians",3116/00,3116
"Science, engineering, and production technicians n.e.c.",3119,311
School technicians,3119/01,3119
Technical assistants,3119/02,3119
Textile consultants,3119/03,3119
"Science, engineering, and production technicians n.e.c.",3119/99,3119
"CAD, drawing, and architectural technicians",312,31
"CAD, drawing and architectural technicians",3120,312
Architectural technicians,3120/01,3120
Cartographers,3120/02,3120
Mechanical designers,3120/03,3120
Piping designers,3120/04,3120
"CAD, drawing and architectural technicians n.e.c.",3120/99,3120
Information Technology Technicians,313,31
IT operations technicians,3131,313
Configuration managers,3131/01,3131
Games testers,3131/02,3131
Network and systems administrators,3131/03,3131
Quality assurance testers,3131/04,3131
Software technicians,3131/05,3131
IT operations technicians n.e.c.,3131/99,3131
IT user support technicians,3132,313
IT user support technicians,3132/00,3132
Database administrators and web content technicians,3133,313
Database administrators,3133/01,3133
Web content technicians,3133/02,3133
Database administrators and web content technicians n.e.c.,3133/99,3133
HEALTH AND SOCIAL CARE ASSOCIATE PROFESSIONALS,32,3
Health Associate Professionals,321,32
Dispensing opticians,3211,321
Dispensing opticians,3211/00,3211
Pharmaceutical technicians,3212,321
Pharmaceutical technicians,3212/00,3212
Medical and dental technicians,3213,321
Cardiac physiologists,3213/01,3213
Dental hygienists,3213/02,3213
Dental technicians,3213/03,3213
Hearing aid dispensers,3213/04,3213
Hearing screeners,3213/05,3213
Orthotic and prosthetic technicians,3213/06,3213
Nursing associates,3213/07,3213
Medical and dental technicians n.e.c.,3213/99,3213
Complementary health associate professionals,3214,321
Alexander technique teachers,3214/01,3214
Aromatherapists,3214/02,3214
Bowen therapists,3214/03,3214
Homeopaths,3214/04,3214
Hospital play specialists,3214/05,3214
Hypnotherapists,3214/06,3214
Massage therapists,3214/07,3214
Reflexologists,3214/08,3214
Reiki healers,3214/09,3214
Complementary health associate professionals n.e.c.,3214/99,3214
Health associate professionals n.e.c.,3219,321
Animal technicians,3219/01,3219
Antenatal teachers,3219/02,3219
Assistant practitioners,3219/03,3219
Dietetic assistants,3219/04,3219
Equine dentists,3219/05,3219
Foot health practitioners,3219/06,3219
Health trainers,3219/07,3219
Home economists,3219/08,3219
Health associate professionals n.e.c.,3219/99,3219
Welfare and Housing Associate Professionals,322,32
Youth and community workers,3221,322
Youth and community workers,3221/00,3221
Child and early years officers,3222,322
Child protection officers,3222/01,3222
Family liaison officers,3222/02,3222
Learning and behaviour mentors,3222/03,3222
Welfare and attendance officers,3222/04,3222
Child and early years officers n.e.c.,3222/99,3222
Housing officers,3223,322
Housing officers,3223/00,3223
Counsellors,3224,322
Bereavement counsellors,3224/01,3224
Debt advisers,3224/02,3224
Life coaches,3224/03,3224
Relationship counsellors,3224/04,3224
Substance misuse counsellors,3224/05,3224
Counsellors n.e.c.,3224/99,3224
Welfare and housing associate professionals n.e.c.,3229,322
Advocates,3229/01,3229
Celebrants,3229/02,3229
Charity workers,3229/03,3229
Day care officers,3229/04,3229
Health advisors,3229/05,3229
Housing advice and support workers,3229/06,3229
Mental health workers,3229/07,3229
Probation service workers,3229/08,3229
Student support workers,3229/09,3229
Victim support workers,3229/10,3229
Welfare and housing associate professionals n.e.c.,3229/99,3229
Teaching and Childcare Associate Professionals,323,32
Higher level teaching assistants,3231,323
Higher level teaching assistants,3231/00,3231
Early education and childcare practitioners,3232,323
Early education and childcare practitioners,3232/00,3232
Veterinary nurses,324,32
Veterinary nurses,3240,324
Veterinary nurses,3240/00,3240
PROTECTIVE SERVICE OCCUPATIONS,33,3
Protective Service Occupations,331,33
Non-commissioned officers and other ranks,3311,331
Non-commissioned Army officers and others ranks,3311/01,3311
Non-commissioned Royal Air Force officers and other ranks,3311/02,3311
Royal Marines Commandos,3311/03,3311
Non-commissioned Royal Navy officers and other ranks,3311/04,3311
Non-commissioned officers and other ranks n.e.c.,3311/99,3311
Police officers (sergeant and below),3312,331
Detective police constable,3312/01,3312
Detective police sergeant,3312/02,3312
Uniformed police constable,3312/03,3312
Uniformed police sergeant,3312/04,3312
Police officers (sergeant and below) n.e.c.,3312/99,3312
Fire service officers (watch manager and below),3313,331
Crew managers,3313/01,3313
Firefighters,3313/02,3313
Watch managers,3313/03,3313
Fire service officers (watch manager and below) n.e.c.,3313/99,3313
Prison service officers (below principal officer),3314,331
Operational support grades,3314/01,3314
Prison officers,3314/02,3314
Prison service officers (below principal officer) n.e.c,3314/99,3314
Protective service associate professionals n.e.c.,3319,331
Coastguard officers,3319/01,3319
Customs and border control officers,3319/02,3319
Fraud investigators,3319/03,3319
Immigration enforcement officers,3319/04,3319
Private investigators,3319/05,3319
Security consultants and managers,3319/06,3319
Traffic officers,3319/07,3319
Protective service associate professionals n.e.c.,3319/99,3319
"CULTURE, MEDIA AND SPORTS OCCUPATIONS",34,3
"Artistic, Literary and Media Occupations",341,34
Artists,3411,341
Animators,3411/01,3411
Art technicians,3411/02,3411
Concept artists,3411/03,3411
Drawing and painting artists,3411/04,3411
Illustrators (non-medical & non-scientific),3411/05,3411
Medical and scientific illustrators,3411/06,3411
Picture restorers,3411/07,3411
Sculptors,3411/08,3411
Artists n.e.c.,3411/99,3411
"Authors, writers and translators",3412,341
Authors,3412/01,3412
Bloggers,3412/02,3412
Copywriters,3412/03,3412
Literary editors,3412/04,3412
Poets,3412/05,3412
Script writers,3412/06,3412
Technical writers,3412/07,3412
Translators and interpreters,3412/08,3412
"Authors, writers and translators n.e.c.",3412/99,3412
"Actors, entertainers and presenters",3413,341
Actors,3413/01,3413
"Broadcasters, podcasters and presenters",3413/02,3413
Children's entertainers,3413/03,3413
Comedians,3413/04,3413
Disc jockeys,3413/05,3413
Magicians,3413/06,3413
Models,3413/07,3413
Singers,3413/08,3413
Social media influencers,3413/09,3413
"Actors, entertainers and presenters n.e.c.",3413/99,3413
Dancers and choreographers,3414,341
Ballet dancers,3414/01,3414
Choreographers,3414/02,3414
Dance teachers,3414/03,3414
Dancers,3414/04,3414
Dancers and choreographers n.e.c.,3414/99,3414
Musicians,3415,341
Composers and musical arrangers,3415/01,3415
Conductors,3415/02,3415
Instrumentalists,3415/03,3415
Musicians n.e.c.,3415/99,3415
"Arts officers, producers and directors",3416,341
Art consultants,3416/01,3416
Directors,3416/02,3416
Editors,3416/03,3416
Producers,3416/04,3416
Studio and stage managers,3416/05,3416
"Arts officers, producers and directors n.e.c.",3416/99,3416
"Photographers, audio-visual and broadcasting equipment operators",3417,341
Camera operators and videographers,3417/01,3417
Lighting designers,3417/02,3417
Photographers,3417/03,3417
Sound designers,3417/04,3417
Sound engineers,3417/05,3417
Theatre technicians,3417/06,3417
"Photographers, audio-visual and broadcasting equipment operators n.e.c.",3417/99,3417
Design Occupations,342,34
Interior designers,3421,342
Interior designers,3421/00,3421
"Clothing, fashion and accessories designers",3422,342
Clothing and fashion consultants,3422/01,3422
Clothing and fashion designers,3422/02,3422
Footwear designers,3422/03,3422
Jewellery designers,3422/04,3422
Textile designers,3422/05,3422
"Clothing, fashion and accessories designers n.e.c.",3422/99,3422
Design occupations n.e.c.,3429,342
Industrial and product designers,3429/01,3429
Make-up artists,3429/02,3429
Packaging technologists,3429/03,3429
Set designers,3429/04,3429
Visual merchandisers,3429/05,3429
Design occupations n.e.c.,3429/99,3429
Sports and Fitness Occupations,343,34
Sports players,3431,343
Sports players,3431/00,3431
"Sports coaches, instructors and officials",3432,343
Basketball coaches,3432/01,3432
Cricket coaches,3432/02,3432
Football coaches,3432/03,3432
Golf coaches,3432/04,3432
Gymnastics coaches,3432/05,3432
Horse riding instructors,3432/06,3432
Martial arts instructors,3432/07,3432
Outdoor pursuits instructors,3432/08,3432
"Referees, umpires and other sports officials",3432/09,3432
Rugby coaches,3432/10,3432
Sailing instructors,3432/11,3432
Skiing instructors,3432/12,3432
Sports development officers,3432/13,3432
Swimming coaches,3432/14,3432
Tennis coaches,3432/15,3432
"Sports coaches, instructors and officials n.e.c.",3432/99,3432
Fitness and wellbeing instructors,3433,343
Group fitness instructors,3433/01,3433
Personal trainers,3433/02,3433
Pilates teachers,3433/03,3433
Yoga teachers,3433/04,3433
Fitness and wellbeing instructors n.e.c.,3433/99,3433
BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,35,3
Transport Associate Professionals,351,35
Aircraft pilots and air traffic controllers,3511,351
Airline pilots,3511/01,3511
Air traffic controllers,3511/02,3511
Flying instructors,3511/03,3511
Helicopter pilots,3511/04,3511
Navigators,3511/05,3511
Aircraft pilots and air traffic controllers n.e.c.,3511/99,3511
Ship and hovercraft officers,3512,351
Captains,3512/01,3512
Deck officers,3512/02,3512
Marine technicians,3512/03,3512
Ship and hovercraft officers n.e.c.,3512/99,3512
Legal Associate Professionals,352,35
Legal associate professionals,3520,352
Adjudicators,3520/01,3520
Compliance officers,3520/02,3520
Conveyancing executives,3520/03,3520
Cost lawyers,3520/04,3520
Law clerks,3520/05,3520
Litigation officers,3520/06,3520
Probate officers,3520/07,3520
Will writers,3520/08,3520
Legal associate professionals n.e.c.,3520/99,3520
Finance Associate Professionals,353,35
Brokers,3531,353
Commodity brokers,3531/01,3531
Insurance and mortgage brokers,3531/02,3531
Shipbrokers,3531/03,3531
Stockbrokers,3531/04,3531
Brokers n.e.c.,3531/99,3531
Insurance underwriters,3532,353
Insurance underwriters,3532/00,3532
Financial and accounting technicians,3533,353
Accounting technicians,3533/01,3533
Financial controllers,3533/02,3533
Insolvency administrators,3533/03,3533
Financial and accounting technicians n.e.c.,3533/99,3533
Financial accounts managers,3534,353
Claims managers,3534/01,3534
Credit control managers,3534/02,3534
Investment managers,3534/03,3534
Relationship managers,3534/04,3534
Financial accounts managers n.e.c.,3534/99,3534
Business Associate Professionals,354,35
"Estimators, valuers and assessors",3541,354
Energy advisers and assessors,3541/01,3541
Estimators,3541/02,3541
Loss adjusters,3541/03,3541
Valuers,3541/04,3541
Vehicle damage assessors,3541/05,3541
"Estimators, valuers and assessors n.e.c.",3541/99,3541
Importers and exporters,3542,354
Importers and exporters,3542/00,3542
Project support officers,3543,354
Project support officers,3543/00,3543
Data analysts,3544,354
Data analysts,3544/00,3544
Business associate professionals n.e.c.,3549,354
Aviation consultants,3549/01,3549
Business support officers,3549/02,3549
Business systems analysts,3549/03,3549
Contract coordinators,3549/04,3549
Clinical coders,3549/05,3549
Clinical trials assistants,3549/06,3549
Marine consultants,3549/07,3549
Research coordinators,3549/08,3549
Strategy consultants,3549/09,3549
Transport planners,3549/10,3549
Work measurement officers,3549/11,3549
Business associate professionals n.e.c.,3549/99,3549
"Sales, Marketing and Related Associate Professionals",355,35
Buyers and procurement officers,3551,355
Buyers and procurement officers,3551/00,3551
Business sales executives,3552,355
Business sales executives,3552/00,3552
Merchandisers,3553,355
Merchandisers,3553/00,3553
Marketing associate professionals,3554,355
Fundraisers,3554/01,3554
Market researchers,3554/02,3554
Marketing consultants,3554/03,3554
Promoters,3554/04,3554
Marketing associate professionals n.e.c.,3554/99,3554
Estate agents and auctioneers,3555,355
Estate agents,3555/01,3555
Land and property auctioneers and valuers,3555/02,3555
Lettings agents,3555/03,3555
Sales accounts and business development managers,3556,355
Brand managers,3556/01,3556
Business development managers,3556/02,3556
Communications managers,3556/03,3556
Export and import managers,3556/04,3556
Sales managers,3556/05,3556
Sales accounts and business development managers n.e.c.,3556/99,3556
Event managers and organisers,3557,355
Conference managers and organisers,3557/01,3557
Exhibition managers and organisers,3557/02,3557
Festival managers and organisers,3557/03,3557
Hospitality managers,3557/04,3557
Wedding planners and organisers,3557/05,3557
Event managers and organisers n.e.c.,3557/99,3557
Public Services Associate Professionals,356,35
Public services associate professionals,3560,356
Electoral services officers,3560/01,3560
Health service administrators,3560/02,3560
Job Centre officers,3560/03,3560
Recycling officers,3560/04,3560
Public services associate professionals n.e.c.,3560/99,3560
"HR, Training and Other Vocational Associate Guidance Professionals",357,35
Human resources and industrial relations officers,3571,357
Equality and diversity officers,3571/01,3571
Human resources advisors,3571/02,3571
Recruitment officers,3571/03,3571
Human resources and industrial relations officers n.e.c.,3571/99,3571
Careers advisers and vocational guidance specialists,3572,357
Careers advisers and coaches,3572/01,3572
Placement officers,3572/02,3572
Careers advisers and vocational guidance specialists n.e.c.,3572/99,3572
Information technology trainers,3573,357
Information technology trainers,3573/00,3573
Other vocational and industrial trainers,3574,357
Business coaches,3574/01,3574
Cycle instructors,3574/02,3574
Forklift instructors,3574/03,3574
Retail and store trainers,3574/04,3574
Training assessors,3574/05,3574
Other vocational and industrial trainers n.e.c.,3574/99,3574
Regulatory Associate Professionals,358,35
Inspectors of standards and regulations,3581,358
Animal health inspectors,3581/01,3581
Building control officers,3581/02,3581
Driving examiners,3581/03,3581
Health and safety inspectors,3581/04,3581
Housing and planning inspectors,3581/05,3581
Licensing officers,3581/06,3581
Meat hygiene inspectors,3581/07,3581
Nuclear inspectors,3581/08,3581
Trading standards officers,3581/09,3581
Traffic examiners,3581/10,3581
Inspectors of standards and regulations n.e.c.,3581/99,3581
Health and safety managers and officers,3582,358
Asbestos safety managers and officers,3582/01,3582
Fire safety managers and officers,3582/02,3582
Nuclear safety managers and officers,3582/03,3582
Occupational health managers and officers,3582/04,3582
Road traffic and transport safety managers and officers,3582/05,3582
Health and safety managers and officers n.e.c.,3582/99,3582
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,4,
ADMINISTRATIVE OCCUPATIONS,41,4
Administrative Occupations: Government and Related Organisations,411,41
National government administrative occupations,4111,411
National government benefits officers,4111/01,4111
National government revenue officers,4111/02,4111
Passport officers,4111/03,4111
National government administrative occupations n.e.c.,4111/99,4111
Local government administrative occupations,4112,411
Benefits officers,4112/01,4112
Housing assistants,4112/02,4112
Local government revenue officers,4112/03,4112
Parish clerks,4112/04,4112
Local government administrative occupations n.e.c.,4112/99,4112
Officers of non-governmental organisations,4113,411
Charity administrators,4113/01,4113
Clerks to governors,4113/02,4113
Union officials,4113/03,4113
Officers of non-governmental organisations n.e.c.,4113/99,4113
Administrative Occupations: Finance,412,41
Credit controllers,4121,412
Credit controllers,4121/00,4121
"Bookkeepers, payroll managers and wages clerks",4122,412
Accounting clerks and bookkeepers,4122/01,4122
Auditors,4122/02,4122
Payroll officers,4122/03,4122
"Bookkeepers, payroll managers and wage clerks n.e.c.",4122/99,4122
Bank and post office clerks,4123,412
Bank and building society clerks,4123/01,4123
Post office clerks,4123/02,4123
Bank and post office clerks n.e.c.,4123/99,4123
Finance officers,4124,412
Finance officers,4124/00,4124
Financial administrative occupations n.e.c.,4129,412
Box office assistants,4129/01,4129
Cashiers,4129/02,4129
Grants officers,4129/03,4129
Mortgage administrators,4129/04,4129
Revenue assistants,4129/05,4129
Treasurers,4129/06,4129
Finance administrative occupations n.e.c,4129/99,4129
Administrative Occupations: Records,413,41
Records clerks and assistants,4131,413
Admissions officers,4131/01,4131
Booking clerks,4131/02,4131
Court officers,4131/03,4131
Enumerators,4131/04,4131
Examination officers,4131/05,4131
Indexers,4131/06,4131
Medical administrators,4131/07,4131
Purchasing administrators,4131/08,4131
Records clerks and assistants n.e.c.,4131/99,4131
Pensions and insurance clerks and assistants,4132,413
Claims handlers,4132/01,4132
Insurance administrators,4132/02,4132
Pensions administrators,4132/03,4132
Pensions and insurance clerks and assistants,4132/99,4132
Stock control clerks and assistants,4133,413
Despatch clerks,4133/01,4133
Inventory and stock controllers,4133/02,4133
Supply chain coordinators,4133/03,4133
Stock control clerks and assistants n.e.c.,4133/99,4133
Transport and distribution clerks and assistants,4134,413
Transport and distribution clerks and assistants,4134/00,4134
Library clerks and assistants,4135,413
Library clerks and assistants,4135/00,4135
Human resources administrative occupations,4136,413
Recruitment administrators,4136/01,4136
Training administrators,4136/02,4136
Human resources administrative occupations n.e.c.,4136/99,4136
Administrative Occupations: Office Managers and Supervisors,414,41
Office managers,4141,414
Office managers,4141/00,4141
Office supervisors,4142,414
Office supervisors,4142/00,4142
Customer service managers,4143,414
Call centre managers,4143/01,4143
Customer service managers n.e.c.,4143/99,4143
Other Administrative Occupations,415,41
Sales administrators,4151,415
Sales administrators,4151/00,4151
Data entry administrators,4152,415
Data entry administrators,4152/00,4152
Other administrative occupations n.e.c.,4159,415
Business administrators,4159/01,4159
Church administrators,4159/02,4159
Facilities coordinators,4159/03,4159
Proof readers,4159/04,4159
Property administrators,4159/05,4159
Warranty administrators,4159/06,4159
Other administrative occupations n.e.c.,4159/99,4159
SECRETARIAL AND RELATED OCCUPATIONS,42,4
Secretarial and Related Occupations,421,42
Medical secretaries,4211,421
Medical administrators,4211/01,4211
Medical secretaries,4211/02,4211
Legal secretaries,4212,421
Legal administrators,4212/01,4212
Legal secretaries,4212/02,4212
School secretaries,4213,421
School administrators,4213/01,4213
School secretaries,4213/02,4213
Company secretaries and administrators,4214,421
Company administrators,4214/01,4214
Company secretaries,4214/02,4214
Personal assistants and other secretaries,4215,421
Farm secretaries,4215/01,4215
Personal assistants,4215/02,4215
Personal assistants and other secretaries n.e.c.,4215/99,4215
Receptionists,4216,421
Receptionists,4216/00,4216
Typists and related keyboard occupations,4217,421
Stenographers,4217/01,4217
Transcribers,4217/02,4217
Typists,4217/03,4217
Typists and related keyboard occupations n.e.c.,4217/99,4217
SKILLED TRADES OCCUPATIONS,5,
SKILLED AGRICULTURAL AND RELATED TRADES,51,5
Agricultural and Related Trades,511,51
Farmers,5111,511
Agricultural contractors,5111/01,5111
Arable farmers,5111/02,5111
Crofters,5111/03,5111
Dairy farmers,5111/04,5111
Fish farmers,5111/05,5111
Livestock farmers,5111/06,5111
Poultry farmers,5111/07,5111
Farmers n.e.c.,5111/99,5111
Horticultural trades,5112,511
Horticultural trades,5112/00,5112
Gardeners and landscape gardeners,5113,511
Garden designers,5113/01,5113
Gardeners,5113/02,5113
Green roof installers,5113/03,5113
Landscape gardeners,5113/04,5113
Gardeners and landscape gardeners n.e.c,5113/99,5113
Groundsmen and greenkeepers,5114,511
Groundsmen and greenkeepers,5114/00,5114
Agricultural and fishing trades n.e.c.,5119,511
Arborists and arboriculturists,5119/01,5119
Beekeepers,5119/02,5119
Falconers,5119/03,5119
Fish and river keepers,5119/04,5119
Fishers,5119/05,5119
Forest and woodland officers,5119/06,5119
Gamekeepers,5119/07,5119
Ghillies,5119/08,5119
Tree surgeons,5119/09,5119
Agricultural and fishing trades n.e.c.,5119/99,5119
"SKILLED METAL, ELECTRICAL AND ELECTRONIC TRADES",52,5
"Metal Forming, Welding and Related Trades",521,52
Sheet metal workers,5211,521
Metal fabricators,5211/01,5211
Metal finishers,5211/02,5211
Metal smiths,5211/03,5211
Panel beaters,5211/04,5211
Sheet metal workers n.e.c.,5211/99,5211
"Metal plate workers, smiths, moulders and related occupations",5212,521
Die casters,5212/01,5212
Farriers,5212/02,5212
"Moulders, mould makers and core makers",5212/03,5212
Platers,5212/04,5212
Riveters,5212/05,5212
Smiths,5212/06,5212
"Metal plate workers, smiths, moulders and related occupations n.e.c.",5212/99,5212
Welding trades,5213,521
Braziers and solderers,5213/01,5213
Pipe welders,5213/02,5213
Plate welders,5213/03,5213
Welding trades n.e.c.,5213/99,5213
Pipe fitters,5214,521
Pipe fitters,5214/00,5214
"Metal Machining, Fitting and Instrument Making Trades",522,52
Metal machining setters and setter-operators,5221,522
Metal machining setters and setter-operators,5221/00,5221
"Tool makers, tool fitters and markers-out",5222,522
Tool fitters,5222/01,5222
Tool makers,5222/02,5222
"Tool makers, tool fitters and markers-out n.e.c",5222/99,5222
Metal working production and maintenance fitters,5223,522
Automation maintenance technicians,5223/01,5223
Bicycle mechanics,5223/02,5223
Catering equipment technicians,5223/03,5223
Door fitters and makers,5223/04,5223
Gunsmiths,5223/05,5223
Heavy plant maintenance technicians,5223/06,5223
Hydraulic technicians,5223/07,5223
Lift technicians,5223/08,5223
Locksmiths,5223/09,5223
Motor vehicle part fitters,5223/10,5223
Pump technicians,5223/11,5223
Textile machine technicians,5223/12,5223
Turbine technicians,5223/13,5223
